"Sample_ID","sample_type","loc.asv","ASV","reads","extraction_ID","pcr_replicate","alt_ID","tank_ID"
"e02139-C","sample","11.ASV4","ASV4",2605,"e02139","C","377","11"
"e02139-C","sample","11.ASV5","ASV5",2190,"e02139","C","377","11"
"e02139-C","sample","11.ASV13","ASV13",0,"e02139","C","377","11"
"e02139-C","sample","11.ASV16","ASV16",94,"e02139","C","377","11"
"e02141-A","sample","17.ASV2","ASV2",19110,"e02141","A","491","17"
"e02141-A","sample","17.ASV4","ASV4",5525,"e02141","A","491","17"
"e02141-A","sample","17.ASV13","ASV13",199,"e02141","A","491","17"
"e02141-A","sample","17.ASV16","ASV16",0,"e02141","A","491","17"
"e02141-A","sample","17.ASV22","ASV22",12,"e02141","A","491","17"
"e02150-A","sample","17.ASV2","ASV2",22825,"e02150","A","481","17"
"e02150-A","sample","17.ASV4","ASV4",10970,"e02150","A","481","17"
"e02150-A","sample","17.ASV13","ASV13",314,"e02150","A","481","17"
"e02150-A","sample","17.ASV16","ASV16",32,"e02150","A","481","17"
"e02150-A","sample","17.ASV22","ASV22",20,"e02150","A","481","17"
"e02152-A","sample","17.ASV2","ASV2",16761,"e02152","A","408","17"
"e02152-A","sample","17.ASV4","ASV4",5737,"e02152","A","408","17"
"e02152-A","sample","17.ASV13","ASV13",154,"e02152","A","408","17"
"e02152-A","sample","17.ASV16","ASV16",0,"e02152","A","408","17"
"e02152-A","sample","17.ASV22","ASV22",19,"e02152","A","408","17"
"e02141-B","sample","17.ASV2","ASV2",21829,"e02141","B","491","17"
"e02141-B","sample","17.ASV4","ASV4",8170,"e02141","B","491","17"
"e02141-B","sample","17.ASV13","ASV13",207,"e02141","B","491","17"
"e02141-B","sample","17.ASV16","ASV16",0,"e02141","B","491","17"
"e02141-B","sample","17.ASV22","ASV22",0,"e02141","B","491","17"
"e02150-B","sample","17.ASV2","ASV2",28895,"e02150","B","481","17"
"e02150-B","sample","17.ASV4","ASV4",10594,"e02150","B","481","17"
"e02150-B","sample","17.ASV13","ASV13",490,"e02150","B","481","17"
"e02150-B","sample","17.ASV16","ASV16",0,"e02150","B","481","17"
"e02150-B","sample","17.ASV22","ASV22",0,"e02150","B","481","17"
"e02152-B","sample","17.ASV2","ASV2",24743,"e02152","B","408","17"
"e02152-B","sample","17.ASV4","ASV4",12663,"e02152","B","408","17"
"e02152-B","sample","17.ASV13","ASV13",217,"e02152","B","408","17"
"e02152-B","sample","17.ASV16","ASV16",29,"e02152","B","408","17"
"e02152-B","sample","17.ASV22","ASV22",15,"e02152","B","408","17"
"e02141-C","sample","17.ASV2","ASV2",14336,"e02141","C","491","17"
"e02141-C","sample","17.ASV4","ASV4",2429,"e02141","C","491","17"
"e02141-C","sample","17.ASV13","ASV13",0,"e02141","C","491","17"
"e02141-C","sample","17.ASV16","ASV16",0,"e02141","C","491","17"
"e02141-C","sample","17.ASV22","ASV22",3,"e02141","C","491","17"
"e02150-C","sample","17.ASV2","ASV2",12752,"e02150","C","481","17"
"e02150-C","sample","17.ASV4","ASV4",3772,"e02150","C","481","17"
"e02150-C","sample","17.ASV13","ASV13",129,"e02150","C","481","17"
"e02150-C","sample","17.ASV16","ASV16",62,"e02150","C","481","17"
"e02150-C","sample","17.ASV22","ASV22",4,"e02150","C","481","17"
"e02152-C","sample","17.ASV2","ASV2",11922,"e02152","C","408","17"
"e02152-C","sample","17.ASV4","ASV4",4883,"e02152","C","408","17"
"e02152-C","sample","17.ASV13","ASV13",178,"e02152","C","408","17"
"e02152-C","sample","17.ASV16","ASV16",95,"e02152","C","408","17"
"e02152-C","sample","17.ASV22","ASV22",1,"e02152","C","408","17"
"e02362-A","sample","2.ASV2","ASV2",5307,"e02362","A","435","2"
"e02362-A","sample","2.ASV3","ASV3",21964,"e02362","A","435","2"
"e02362-A","sample","2.ASV4","ASV4",842,"e02362","A","435","2"
"e02362-A","sample","2.ASV5","ASV5",1933,"e02362","A","435","2"
"e02362-A","sample","2.ASV13","ASV13",57,"e02362","A","435","2"
"e02362-A","sample","2.ASV16","ASV16",8,"e02362","A","435","2"
"e02363-A","sample","2.ASV2","ASV2",3440,"e02363","A","393","2"
"e02363-A","sample","2.ASV3","ASV3",20152,"e02363","A","393","2"
"e02363-A","sample","2.ASV4","ASV4",1025,"e02363","A","393","2"
"e02363-A","sample","2.ASV5","ASV5",3042,"e02363","A","393","2"
"e02363-A","sample","2.ASV13","ASV13",100,"e02363","A","393","2"
"e02363-A","sample","2.ASV16","ASV16",38,"e02363","A","393","2"
"e02366-A","sample","2.ASV2","ASV2",5805,"e02366","A","446","2"
"e02366-A","sample","2.ASV3","ASV3",16302,"e02366","A","446","2"
"e02366-A","sample","2.ASV4","ASV4",749,"e02366","A","446","2"
"e02366-A","sample","2.ASV5","ASV5",1861,"e02366","A","446","2"
"e02366-A","sample","2.ASV13","ASV13",0,"e02366","A","446","2"
"e02366-A","sample","2.ASV16","ASV16",9,"e02366","A","446","2"
"e02362-B","sample","2.ASV2","ASV2",6514,"e02362","B","435","2"
"e02362-B","sample","2.ASV3","ASV3",28394,"e02362","B","435","2"
"e02362-B","sample","2.ASV4","ASV4",1033,"e02362","B","435","2"
"e02362-B","sample","2.ASV5","ASV5",2225,"e02362","B","435","2"
"e02362-B","sample","2.ASV13","ASV13",0,"e02362","B","435","2"
"e02362-B","sample","2.ASV16","ASV16",1,"e02362","B","435","2"
"e02363-B","sample","2.ASV2","ASV2",3952,"e02363","B","393","2"
"e02363-B","sample","2.ASV3","ASV3",23615,"e02363","B","393","2"
"e02363-B","sample","2.ASV4","ASV4",1123,"e02363","B","393","2"
"e02363-B","sample","2.ASV5","ASV5",2347,"e02363","B","393","2"
"e02363-B","sample","2.ASV13","ASV13",0,"e02363","B","393","2"
"e02363-B","sample","2.ASV16","ASV16",15,"e02363","B","393","2"
"e02366-B","sample","2.ASV2","ASV2",10570,"e02366","B","446","2"
"e02366-B","sample","2.ASV3","ASV3",33564,"e02366","B","446","2"
"e02366-B","sample","2.ASV4","ASV4",837,"e02366","B","446","2"
"e02366-B","sample","2.ASV5","ASV5",2404,"e02366","B","446","2"
"e02366-B","sample","2.ASV13","ASV13",0,"e02366","B","446","2"
"e02366-B","sample","2.ASV16","ASV16",5,"e02366","B","446","2"
"e02362-C","sample","2.ASV2","ASV2",5605,"e02362","C","435","2"
"e02362-C","sample","2.ASV3","ASV3",24527,"e02362","C","435","2"
"e02362-C","sample","2.ASV4","ASV4",723,"e02362","C","435","2"
"e02362-C","sample","2.ASV5","ASV5",2466,"e02362","C","435","2"
"e02362-C","sample","2.ASV13","ASV13",0,"e02362","C","435","2"
"e02362-C","sample","2.ASV16","ASV16",9,"e02362","C","435","2"
"e02363-C","sample","2.ASV2","ASV2",3202,"e02363","C","393","2"
"e02363-C","sample","2.ASV3","ASV3",21897,"e02363","C","393","2"
"e02363-C","sample","2.ASV4","ASV4",725,"e02363","C","393","2"
"e02363-C","sample","2.ASV5","ASV5",2477,"e02363","C","393","2"
"e02363-C","sample","2.ASV13","ASV13",0,"e02363","C","393","2"
"e02363-C","sample","2.ASV16","ASV16",17,"e02363","C","393","2"
"e02366-C","sample","2.ASV2","ASV2",7315,"e02366","C","446","2"
"e02366-C","sample","2.ASV3","ASV3",25229,"e02366","C","446","2"
"e02366-C","sample","2.ASV4","ASV4",351,"e02366","C","446","2"
"e02366-C","sample","2.ASV5","ASV5",2314,"e02366","C","446","2"
"e02366-C","sample","2.ASV13","ASV13",104,"e02366","C","446","2"
"e02366-C","sample","2.ASV16","ASV16",5,"e02366","C","446","2"
"e02228-A","sample","24.ASV1","ASV1",27369,"e02228","A","124","24"
"e02228-A","sample","24.ASV2","ASV2",1973,"e02228","A","124","24"
"e02228-A","sample","24.ASV6","ASV6",3948.10312200728,"e02228","A","124","24"
"e02228-A","sample","24.ASV8","ASV8",3807,"e02228","A","124","24"
"e02228-A","sample","24.ASV9","ASV9",1144,"e02228","A","124","24"
"e02228-A","sample","24.ASV73","ASV73",405,"e02228","A","124","24"
"e02228-A","sample","24.ASV81","ASV81",299,"e02228","A","124","24"
"e02228-A","sample","24.ASV151","ASV151",105,"e02228","A","124","24"
"e02228-A","sample","24.ASV165","ASV165",122,"e02228","A","124","24"
"e02228-A","sample","24.ASV217","ASV217",0,"e02228","A","124","24"
"e02228-A","sample","24.ASV262","ASV262",0,"e02228","A","124","24"
"e02231-A","sample","24.ASV1","ASV1",12662,"e02231","A","379","24"
"e02231-A","sample","24.ASV2","ASV2",4115,"e02231","A","379","24"
"e02231-A","sample","24.ASV6","ASV6",2628.05723041563,"e02231","A","379","24"
"e02231-A","sample","24.ASV8","ASV8",1372,"e02231","A","379","24"
"e02231-A","sample","24.ASV9","ASV9",2092,"e02231","A","379","24"
"e02231-A","sample","24.ASV73","ASV73",0,"e02231","A","379","24"
"e02231-A","sample","24.ASV81","ASV81",0,"e02231","A","379","24"
"e02231-A","sample","24.ASV151","ASV151",0,"e02231","A","379","24"
"e02231-A","sample","24.ASV165","ASV165",0,"e02231","A","379","24"
"e02231-A","sample","24.ASV217","ASV217",52,"e02231","A","379","24"
"e02231-A","sample","24.ASV262","ASV262",44,"e02231","A","379","24"
"e02233-A","sample","24.ASV1","ASV1",20293,"e02233","A","106","24"
"e02233-A","sample","24.ASV2","ASV2",2048,"e02233","A","106","24"
"e02233-A","sample","24.ASV6","ASV6",4807.99705037349,"e02233","A","106","24"
"e02233-A","sample","24.ASV8","ASV8",2312,"e02233","A","106","24"
"e02233-A","sample","24.ASV9","ASV9",1946,"e02233","A","106","24"
"e02233-A","sample","24.ASV73","ASV73",0,"e02233","A","106","24"
"e02233-A","sample","24.ASV81","ASV81",0,"e02233","A","106","24"
"e02233-A","sample","24.ASV151","ASV151",0,"e02233","A","106","24"
"e02233-A","sample","24.ASV165","ASV165",0,"e02233","A","106","24"
"e02233-A","sample","24.ASV217","ASV217",0,"e02233","A","106","24"
"e02233-A","sample","24.ASV262","ASV262",0,"e02233","A","106","24"
"e02228-B","sample","24.ASV1","ASV1",20516,"e02228","B","124","24"
"e02228-B","sample","24.ASV2","ASV2",589,"e02228","B","124","24"
"e02228-B","sample","24.ASV6","ASV6",2640.85370618655,"e02228","B","124","24"
"e02228-B","sample","24.ASV8","ASV8",3697,"e02228","B","124","24"
"e02228-B","sample","24.ASV9","ASV9",1426,"e02228","B","124","24"
"e02228-B","sample","24.ASV73","ASV73",0,"e02228","B","124","24"
"e02228-B","sample","24.ASV81","ASV81",287,"e02228","B","124","24"
"e02228-B","sample","24.ASV151","ASV151",0,"e02228","B","124","24"
"e02228-B","sample","24.ASV165","ASV165",175,"e02228","B","124","24"
"e02228-B","sample","24.ASV217","ASV217",0,"e02228","B","124","24"
"e02228-B","sample","24.ASV262","ASV262",0,"e02228","B","124","24"
"e02231-B","sample","24.ASV1","ASV1",15964,"e02231","B","379","24"
"e02231-B","sample","24.ASV2","ASV2",6817,"e02231","B","379","24"
"e02231-B","sample","24.ASV6","ASV6",4443.86117601992,"e02231","B","379","24"
"e02231-B","sample","24.ASV8","ASV8",2038,"e02231","B","379","24"
"e02231-B","sample","24.ASV9","ASV9",2865,"e02231","B","379","24"
"e02231-B","sample","24.ASV73","ASV73",0,"e02231","B","379","24"
"e02231-B","sample","24.ASV81","ASV81",0,"e02231","B","379","24"
"e02231-B","sample","24.ASV151","ASV151",0,"e02231","B","379","24"
"e02231-B","sample","24.ASV165","ASV165",0,"e02231","B","379","24"
"e02231-B","sample","24.ASV217","ASV217",50,"e02231","B","379","24"
"e02231-B","sample","24.ASV262","ASV262",73,"e02231","B","379","24"
"e02233-B","sample","24.ASV1","ASV1",26907,"e02233","B","106","24"
"e02233-B","sample","24.ASV2","ASV2",3290,"e02233","B","106","24"
"e02233-B","sample","24.ASV6","ASV6",6574.95755602375,"e02233","B","106","24"
"e02233-B","sample","24.ASV8","ASV8",2991,"e02233","B","106","24"
"e02233-B","sample","24.ASV9","ASV9",3050,"e02233","B","106","24"
"e02233-B","sample","24.ASV73","ASV73",0,"e02233","B","106","24"
"e02233-B","sample","24.ASV81","ASV81",0,"e02233","B","106","24"
"e02233-B","sample","24.ASV151","ASV151",0,"e02233","B","106","24"
"e02233-B","sample","24.ASV165","ASV165",0,"e02233","B","106","24"
"e02233-B","sample","24.ASV217","ASV217",0,"e02233","B","106","24"
"e02233-B","sample","24.ASV262","ASV262",0,"e02233","B","106","24"
"e02228-C","sample","24.ASV1","ASV1",16691,"e02228","C","124","24"
"e02228-C","sample","24.ASV2","ASV2",0,"e02228","C","124","24"
"e02228-C","sample","24.ASV6","ASV6",3800.46584945413,"e02228","C","124","24"
"e02228-C","sample","24.ASV8","ASV8",3339,"e02228","C","124","24"
"e02228-C","sample","24.ASV9","ASV9",1147,"e02228","C","124","24"
"e02228-C","sample","24.ASV73","ASV73",324,"e02228","C","124","24"
"e02228-C","sample","24.ASV81","ASV81",201,"e02228","C","124","24"
"e02228-C","sample","24.ASV151","ASV151",58,"e02228","C","124","24"
"e02228-C","sample","24.ASV165","ASV165",0,"e02228","C","124","24"
"e02228-C","sample","24.ASV217","ASV217",0,"e02228","C","124","24"
"e02228-C","sample","24.ASV262","ASV262",0,"e02228","C","124","24"
"e02231-C","sample","24.ASV1","ASV1",15469,"e02231","C","379","24"
"e02231-C","sample","24.ASV2","ASV2",5516,"e02231","C","379","24"
"e02231-C","sample","24.ASV6","ASV6",3505.69572878759,"e02231","C","379","24"
"e02231-C","sample","24.ASV8","ASV8",1647,"e02231","C","379","24"
"e02231-C","sample","24.ASV9","ASV9",0,"e02231","C","379","24"
"e02231-C","sample","24.ASV73","ASV73",0,"e02231","C","379","24"
"e02231-C","sample","24.ASV81","ASV81",0,"e02231","C","379","24"
"e02231-C","sample","24.ASV151","ASV151",0,"e02231","C","379","24"
"e02231-C","sample","24.ASV165","ASV165",0,"e02231","C","379","24"
"e02231-C","sample","24.ASV217","ASV217",0,"e02231","C","379","24"
"e02231-C","sample","24.ASV262","ASV262",0,"e02231","C","379","24"
"e02233-C","sample","24.ASV1","ASV1",17417,"e02233","C","106","24"
"e02233-C","sample","24.ASV2","ASV2",3109,"e02233","C","106","24"
"e02233-C","sample","24.ASV6","ASV6",4270.71645278682,"e02233","C","106","24"
"e02233-C","sample","24.ASV8","ASV8",2212,"e02233","C","106","24"
"e02233-C","sample","24.ASV9","ASV9",0,"e02233","C","106","24"
"e02233-C","sample","24.ASV73","ASV73",0,"e02233","C","106","24"
"e02233-C","sample","24.ASV81","ASV81",0,"e02233","C","106","24"
"e02233-C","sample","24.ASV151","ASV151",0,"e02233","C","106","24"
"e02233-C","sample","24.ASV165","ASV165",0,"e02233","C","106","24"
"e02233-C","sample","24.ASV217","ASV217",0,"e02233","C","106","24"
"e02233-C","sample","24.ASV262","ASV262",0,"e02233","C","106","24"
"e02143-A","sample","3.ASV2","ASV2",11062,"e02143","A","62","3"
"e02143-A","sample","3.ASV4","ASV4",2658,"e02143","A","62","3"
"e02143-A","sample","3.ASV13","ASV13",282,"e02143","A","62","3"
"e02143-A","sample","3.ASV16","ASV16",0,"e02143","A","62","3"
"e02143-A","sample","3.ASV22","ASV22",0,"e02143","A","62","3"
"e02154-A","sample","3.ASV2","ASV2",18613,"e02154","A","226","3"
"e02154-A","sample","3.ASV4","ASV4",3603,"e02154","A","226","3"
