"","Sample_ID"
"1","e02165-A"
"2","e02180-A"
"3","e02180-B"
"4","e02165-C"
"5","e02180-C"
"6","e02398-A"
"7","e02404-A"
"8","e02405-A"
"9","e02423-A"
"10","e02424-A"
"11","e02425-A"
"12","e02427-A"
"13","e02429-A"
"14","e02398-B"
"15","e02423-B"
"16","e02424-B"
"17","e02425-B"
"18","e02427-B"
"19","e02429-B"
"20","e02423-C"
"21","e02424-C"
"22","e02425-C"
"23","e02427-C"
"24","e02429-C"
