Sample_ID,extraction_ID,pcr_replicate,project,alt_ID,tank_ID,station_ID,sample_type,extraction_plate,extraction_well,DNA_conc,MiSeq_run,collection_year,collection_month,collection_day,location1,longitude,latitude,depth,time_of_day
e02247_A,e02247,A,aquaria,NA,NA,NA,extraction_blank,19_2023,C6,0.235,A,NA,NA,NA,NA,NA,NA,NA,NA
e02160_A,e02160,A,aquaria,417,41,NA,sample,18_2023,B7,5.474,A,2023,3,17,NA,NA,NA,NA,NA
e02248_A,e02248,A,aquaria,107,T,NA,field_blank,19_2023,D6,0.673,A,2022,12,6,NA,NA,NA,NA,NA
e02162_A,e02162,A,aquaria,NA,NA,NA,extraction_blank,18_2023,D7,0.212,A,NA,NA,NA,NA,NA,NA,NA,NA
e02163_A,e02163,A,aquaria,358,41,NA,sample,18_2023,E7,5.78,A,2023,3,17,NA,NA,NA,NA,NA
e02199_A,e02199,A,aquaria,89,67,NA,sample,18_2023,A12,10.594,A,2023,2,1,NA,NA,NA,NA,NA
e02165_A,e02165,A,aquaria,385,59,NA,sample,18_2023,G7,1.297,A,2023,3,8,NA,NA,NA,NA,NA
e02201_A,e02201,A,aquaria,388,67,NA,sample,18_2023,C12,16.945,A,2023,2,1,NA,NA,NA,NA,NA
e02167_A,e02167,A,aquaria,404,3,NA,sample,18_2023,A8,1.878,A,2023,3,8,NA,NA,NA,NA,NA
e02203_A,e02203,A,aquaria,368,67,NA,sample,18_2023,E12,20.698,A,2023,2,1,NA,NA,NA,NA,NA
e02169_A,e02169,A,aquaria,52,T,NA,field_blank,18_2023,C8,0.506,A,2023,3,17,NA,NA,NA,NA,NA
e02192_A,e02192,A,aquaria,420,34,NA,sample,18_2023,B11,2.311,A,2023,2,1,NA,NA,NA,NA,NA
e02171_A,e02171,A,aquaria,452,T,NA,field_blank,18_2023,E8,0.754,A,2023,3,14,NA,NA,NA,NA,NA
e02173_A,e02173,A,aquaria,500,76,NA,sample,18_2023,F8,31.5,A,2023,3,14,NA,NA,NA,NA,NA
e02194_A,e02194,A,aquaria,181,34,NA,sample,18_2023,D11,3.761,A,2023,2,1,NA,NA,NA,NA,NA
e02175_A,e02175,A,aquaria,430,T,NA,field_blank,18_2023,H8,0.582,A,2023,3,8,NA,NA,NA,NA,NA
e02196_A,e02196,A,aquaria,NA,NA,NA,extraction_blank,18_2023,F11,0.212,A,NA,NA,NA,NA,NA,NA,NA,NA
e02177_A,e02177,A,aquaria,284,59,NA,sample,18_2023,B9,1.307,A,2023,3,8,NA,NA,NA,NA,NA
e02197_A,e02197,A,aquaria,366,7,NA,sample,18_2023,G11,13.484,A,2023,2,1,NA,NA,NA,NA,NA
e02190_A,e02190,A,aquaria,35,34,NA,sample,18_2023,H10,2.571,A,2023,2,1,NA,NA,NA,NA,NA
e02179_A,e02179,A,aquaria,NA,NA,NA,extraction_blank,18_2023,E9,0.215,A,NA,NA,NA,NA,NA,NA,NA,NA
e02180_A,e02180,A,aquaria,178,59,NA,sample,18_2023,F9,1.305,A,2023,3,8,NA,NA,NA,NA,NA
e02188_A,e02188,A,aquaria,443,7,NA,sample,18_2023,F10,9.239,A,2023,2,1,NA,NA,NA,NA,NA
e02182_A,e02182,A,aquaria,406,76,NA,sample,18_2023,H9,31.5,A,2023,3,14,NA,NA,NA,NA,NA
e02186_A,e02186,A,aquaria,199,7,NA,sample,18_2023,D10,7.481,A,2023,2,1,NA,NA,NA,NA,NA
e02184_A,e02184,A,aquaria,154,76,NA,sample,18_2023,B10,31.5,A,2023,3,14,NA,NA,NA,NA,NA
NC2_A,NC2,A,aquaria,NA,NA,NA,PCR_blank,NA,F6,0.229,A,NA,NA,NA,NA,NA,NA,NA,NA
atlcod_A,atlcod,A,aquaria,NA,NA,NA,positive,NA,G6,0.235,A,NA,NA,NA,NA,NA,NA,NA,NA
safcod1_A,safcod1,A,aquaria,NA,NA,NA,positive,NA,H6,0.22,A,NA,NA,NA,NA,NA,NA,NA,NA
e02112_B,e02112,B,aquaria,59,40,NA,sample,18_2023,A1,5.155,A,2023,3,24,NA,NA,NA,NA,NA
e02205_B,e02205,B,aquaria,384,87,NA,sample,19_2023,A1,2.504,A,2023,2,1,NA,NA,NA,NA,NA
e02114_B,e02114,B,aquaria,423,47,NA,sample,18_2023,C1,2.241,A,2023,3,31,NA,NA,NA,NA,NA
e02207_B,e02207,B,aquaria,429,98,NA,sample,19_2023,C1,4.283,A,2023,1,23,NA,NA,NA,NA,NA
e02116_B,e02116,B,aquaria,299,55,NA,sample,18_2023,E1,2.473,A,2023,3,31,NA,NA,NA,NA,NA
e02209_B,e02209,B,aquaria,332,98,NA,sample,19_2023,E1,2.621,A,2023,1,23,NA,NA,NA,NA,NA
e02118_B,e02118,B,aquaria,224,55,NA,sample,18_2023,G1,2.393,A,2023,3,31,NA,NA,NA,NA,NA
e02211_B,e02211,B,aquaria,300,87,NA,sample,19_2023,G1,3.158,A,2023,2,1,NA,NA,NA,NA,NA
e02120_B,e02120,B,aquaria,413,11,NA,sample,18_2023,A2,2.327,A,2023,3,27,NA,NA,NA,NA,NA
e02213_B,e02213,B,aquaria,NA,NA,NA,extraction_blank,19_2023,A2,0.28,A,NA,NA,NA,NA,NA,NA,NA,NA
e02122_B,e02122,B,aquaria,213,40,NA,sample,18_2023,C2,5.449,A,2023,3,24,NA,NA,NA,NA,NA
e02214_B,e02214,B,aquaria,241,T,NA,field_blank,19_2023,B2,0.51,A,2023,2,1,NA,NA,NA,NA,NA
e02124_B,e02124,B,aquaria,220,40,NA,sample,18_2023,E2,4.737,A,2023,3,24,NA,NA,NA,NA,NA
e02216_B,e02216,B,aquaria,133,87,NA,sample,19_2023,D2,1.946,A,2023,2,1,NA,NA,NA,NA,NA
e02126_B,e02126,B,aquaria,273,47,NA,sample,18_2023,G2,1.982,A,2023,3,31,NA,NA,NA,NA,NA
e02218_B,e02218,B,aquaria,314,98,NA,sample,19_2023,F2,5.769,A,2023,1,23,NA,NA,NA,NA,NA
e02128_B,e02128,B,aquaria,NA,NA,NA,extraction_blank,18_2023,A3,0.218,A,NA,NA,NA,NA,NA,NA,NA,NA
e02129_B,e02129,B,aquaria,275,47,NA,sample,18_2023,B3,2.249,A,2023,3,31,NA,NA,NA,NA,NA
